1;2771.00;10.10;1560.00;small
1;2735.00;11.50;1540.00;small
1;2803.00;9.90;1564.00;small
2;2742.00;12.20;1573.00;small
2;2777.00;10.30;1583.00;small
2;2770.00;11.07;1608.00;small
3;2728.00;11.78;1695.00;small
3;2729.00;10.50;1654.00;small
3;2755.00;13.18;1633.00;big
4;2684.00;9.98;1614.00;small
4;2663.00;10.05;1586.00;small
5;2852.00;9.75;1528.00;big
5;2881.00;9.70;1543.00;big
5;2900.00;9.60;1570.00;big
6;2960.00;9.70;1586.00;big
6;2918.00;9.70;1554.00;big
6;2940.00;10.80;1532.00;big
7;2988.00;11.18;1506.00;big
7;2951.00;13.10;1483.00;big
7;2986.00;13.78;1465.00;big
8;3052.00;9.80;1589.00;big
8;3001.00;10.35;1544.00;big
8;3005.00;9.70;1580.00;big
9;3137.00;9.50;1742.00;big
9;3099.00;9.98;1685.00;big
10;3041.00;10.70;1678.00;big
10;3073.00;9.50;1722.00;big
10;3011.00;9.50;1709.00;big
11;2961.00;13.10;1764.00;big
11;2917.00;14.55;1725.00;big
12;3129.00;10.70;1880.00;big
12;3061.00;12.68;1900.00;big
12;3189.00;11.05;1957.00;big
13;3180.00;9.50;1777.00;big
13;3248.00;9.53;1804.00;big
14;3832.00;10.30;1761.00;big
14;3785.00;10.50;1672.00;big
14;3921.00;9.80;1669.00;big
16;2821.00;9.50;1650.00;big
16;2800.00;9.50;1783.00;big
17;3515.00;10.90;759.00;big
17;3419.00;16.58;853.00;big
18;2754.00;9.50;1518.00;small
18;2836.00;9.50;1555.00;small
19;2886.00;10.00;1508.00;big
19;2872.00;10.25;1470.00;big
19;2919.00;13.73;1488.00;big
20;2842.00;10.00;1437.00;big
20;2805.00;9.82;1426.00;big
20;2821.00;9.98;1392.00;big
21;2874.00;13.20;1415.00;big
21;2916.00;15.48;1416.00;big
22;3068.00;12.48;1516.00;big
22;3025.00;12.32;1511.00;big
23;3020.00;10.53;1352.00;big
23;3064.00;10.38;1330.00;big
24;3130.00;13.48;1350.00;big
24;3126.00;11.38;1396.00;big
25;3142.00;11.63;1314.00;big
25;3163.00;9.53;1279.00;big
26;3181.00;13.53;1363.00;big
26;3221.00;10.15;1363.00;big
27;3141.00;9.80;1483.00;big
27;3125.00;9.75;1443.00;big
28;3466.00;11.88;1059.00;big
28;3521.00;12.48;909.00;big
28;3653.00;9.80;1028.00;big
29;3029.00;9.50;1248.00;big
29;3089.00;9.50;1209.00;big
30;3359.00;9.50;1389.00;big
30;3260.00;9.50;1382.00;big
31;3984.00;11.00;888.00;big
31;4023.00;9.98;805.00;big
31;4040.00;10.73;872.00;big
32;1245.00;9.50;119.00;big
32;1155.00;9.50;410.00;big
33;567.00;13.05;1987.00;big
33;348.00;9.50;1930.00;big
33;792.00;9.50;1901.00;big
34;1544.00;9.70;1006.00;small
34;1458.00;9.50;1066.00;small
35;1727.00;11.93;128.00;big
35;1730.00;14.65;283.00;big
36;2024.00;11.30;1989.00;big
36;2138.00;14.23;1954.00;big
37;3220.00;10.40;1663.00;big
37;3163.00;10.32;1646.00;big
37;3199.00;10.30;1702.00;big
38;3107.00;10.00;1545.00;big
38;3065.00;9.85;1549.00;big
38;3133.00;11.73;1519.00;big
39;3163.00;9.82;1569.00;big
39;3193.00;9.90;1508.00;big
39;3215.00;10.38;1548.00;big
40;3563.00;9.85;1647.00;big
40;3668.00;9.90;1636.00;big
40;3652.00;9.80;1709.00;big
40;3538.00;9.80;1712.00;big
41;2804.00;10.50;1356.00;big
41;2751.00;13.28;1350.00;big
42;2735.00;9.50;1437.00;small
42;2670.00;9.50;1407.00;small
43;2643.00;9.50;1526.00;big
43;2610.00;9.50;1665.00;big
44;2294.00;9.50;1931.00;big
44;2414.00;9.50;1852.00;big
45;2650.00;9.50;1933.00;big
45;2877.00;9.50;1939.00;big
46;3186.00;9.50;2023.00;big
46;3464.00;9.50;1939.00;big
47;2532.00;9.50;1241.00;big
47;2588.00;9.50;1347.00;big
48;2527.00;9.50;1047.00;big
48;2616.00;9.50;1172.00;big
49;2431.00;9.50;1506.00;big
49;2307.00;9.50;1671.00;big
50;1867.00;9.50;1978.00;big
50;2078.00;9.50;1765.00;big
51;2321.00;9.50;1332.00;big
51;2191.00;9.50;1473.00;big
52;1330.00;9.50;1194.00;big
52;1363.00;9.50;1299.00;big
53;1606.00;9.50;1175.00;big
53;1848.00;9.50;1095.00;big
54;1701.00;9.50;1492.00;big
54;1778.00;9.50;1570.00;big
55;1875.00;9.50;1693.00;big
55;1913.00;9.50;1575.00;big
56;2089.00;9.50;1303.00;big
56;2034.00;9.50;1461.00;big
57;1827.00;9.60;1412.00;big
57;1811.00;9.50;1263.00;big
58;2265.00;9.50;1153.00;big
58;2355.00;9.50;1038.00;big
59;2001.00;9.50;1114.00;big
59;2087.00;9.50;952.00;big
60;3854.00;9.50;724.00;big
60;3782.00;9.50;509.00;big
61;2296.00;9.50;872.00;big
61;2491.00;9.50;826.00;big
62;2874.00;9.50;404.00;big
62;2696.00;9.50;581.00;big
63;1619.00;9.50;96.00;big
63;1844.00;9.50;81.00;big
64;2025.00;9.50;104.00;big
64;2338.00;9.50;117.00;big
65;3300.00;9.50;58.00;big
65;3028.00;9.50;119.00;big
66;2210.00;9.50;377.00;big
66;2433.00;9.50;538.00;big
67;2853.00;9.50;100.00;big
67;2649.00;9.50;149.00;big
68;2874.00;9.50;1316.00;big
68;2795.00;9.50;1263.00;big
69;3197.00;11.43;1233.00;big
